width_um,frequency_THz,frequency_Hz,lambda_um,beta_rad_per_um,n_eff_from_beta
0.4,189.30838397230562,189308383972305.62,1.5836195508586528,5.817566070350447,1.4662644688979234
0.4,189.32088782857858,189320887828578.56,1.5835149593818112,5.81798391536509,1.4662729353049877
0.4,189.3333916848515,189333391684851.5,1.5834103817197203,5.818401774605585,1.4662814041788061
0.4,189.34589554112443,189345895541124.44,1.583305817869643,5.818819648075785,1.4662898755198615
0.4,189.3583993973974,189358399397397.4,1.5832012678288432,5.819237535779545,1.4662983493286366
0.4,189.37090325367032,189370903253670.3,1.5830967315945859,5.819655437720723,1.4663068256056142
0.4,189.38340710994328,189383407109943.28,1.5829922091641357,5.820073353903178,1.466315304351278
0.4,189.3959109662162,189395910966216.22,1.5828877005347595,5.8204912843307595,1.4663237855661089
0.4,189.40841482248914,189408414822489.12,1.5827832057037237,5.820909229007329,1.4663322692505905
0.4,189.4209186787621,189420918678762.1,1.5826787246682952,5.821327187936742,1.4663407554052044
0.4,189.43342253503502,189433422535035.03,1.5825742574257429,5.821745161122824,1.4663492440304258
0.4,189.44592639130795,189445926391307.94,1.5824698039733356,5.822163148567761,1.466357735126316
0.4,189.4584302475809,189458430247580.9,1.5823653643083424,5.822581150271158,1.4663662286922854
0.4,189.47093410385384,189470934103853.84,1.5822609384280342,5.82299916623239,1.4663747247276884
0.4,189.4834379601268,189483437960126.78,1.5821565263296822,5.823417196450837,1.46638322323188
0.4,189.49594181639972,189495941816399.72,1.5820521280105577,5.823835240925877,1.466391724204215
0.4,189.50844567267265,189508445672672.66,1.5819477434679337,5.82425329965689,1.4664002276440482
0.4,189.5209495289456,189520949528945.6,1.581843372699083,5.824671372643256,1.4664087335507354
0.4,189.53345338521854,189533453385218.53,1.58173901570128,5.825089459884352,1.4664172419236319
0.4,189.5459572414915,189545957241491.5,1.581634672471799,5.825507561379557,1.4664257527620925
0.4,189.55846109776442,189558461097764.4,1.581530343007916,5.82592567712825,1.466434266065474
0.4,189.57096495403735,189570964954037.34,1.5814260273069063,5.826343807129809,1.4664427818331311
0.4,189.5834688103103,189583468810310.3,1.5813217253660468,5.826761951383616,1.4664513000644213
0.4,189.59597266658324,189595972666583.25,1.5812174371826155,5.827180109889043,1.4664598207586985
0.4,189.60847652285617,189608476522856.16,1.5811131627538912,5.827598282645477,1.4664683439153225
0.4,189.62098037912912,189620980379129.12,1.5810089020771516,5.828016469652292,1.4664768695336472
0.4,189.63348423540205,189633484235402.06,1.580904655149677,5.828434670908868,1.4664853976130303
0.4,189.645988091675,189645988091675.0,1.5808004219687481,5.828852886414584,1.4664939281528289
0.4,189.65849194794794,189658491947947.94,1.5806962025316458,5.829271116168816,1.4665024611523991
